country,gdpPercap
Albania,5937.029526
Austria,36126.4927
Belgium,33692.60508
Bosnia and Herzegovina,7446.298803
Bulgaria,10680.79282
Croatia,14619.22272
Czech Republic,22833.30851
Denmark,35278.41874
Finland,33207.0844
France,30470.0167
Germany,32170.37442
Greece,27538.41188
Hungary,18008.94444
Iceland,36180.78919
Ireland,40675.99635
Italy,28569.7197
Montenegro,9253.896111
Netherlands,36797.93332
Norway,49357.19017
Poland,15389.92468
Portugal,20509.64777
Romania,10808.47561
Serbia,9786.534714
Slovak Republic,18678.31435
Slovenia,25768.25759
Spain,28821.0637
Sweden,33859.74835
Switzerland,37506.41907
Turkey,8458.276384
United Kingdom,33203.26128
